eventID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID
IYS:GoA2020_Stn44:trawl,IYS:GoA2020_Stn44:trawl:net_opening_depth_end,net_opening_depth_end,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn45:trawl,IYS:GoA2020_Stn45:trawl:sampling_gear,sampling_gear,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/,GoA 2020 Trawl Net, ,NA,NA
IYS:GoA2020_Stn45:trawl,IYS:GoA2020_Stn45:trawl:net_opening_width_wings,net_opening_width_wings, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn45:trawl,IYS:GoA2020_Stn45:trawl:net_opening_width_wings_30_min,net_opening_width_wings_30_min, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn45:trawl,IYS:GoA2020_Stn45:trawl:net_opening_width_wings_45_min,net_opening_width_wings_45_min, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn45:trawl,IYS:GoA2020_Stn45:trawl:net_opening_width_wings_end,net_opening_width_wings_end, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn45:trawl,IYS:GoA2020_Stn45:trawl:net_opening_width_doors,net_opening_width_doors,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,88,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn45:trawl,IYS:GoA2020_Stn45:trawl:net_opening_width_doors_30_min,net_opening_width_doors_30_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,88,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn45:trawl,IYS:GoA2020_Stn45:trawl:net_opening_width_doors_45_min,net_opening_width_doors_45_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,89,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn45:trawl,IYS:GoA2020_Stn45:trawl:net_opening_width_doors_end,net_opening_width_doors_end,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,89,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn45:trawl,IYS:GoA2020_Stn45:trawl:net_opening_depth_15_min,net_opening_depth_15_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn45:trawl,IYS:GoA2020_Stn45:trawl:net_opening_depth_30_min,net_opening_depth_30_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn45:trawl,IYS:GoA2020_Stn45:trawl:net_opening_depth_45_min,net_opening_depth_45_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn45:trawl,IYS:GoA2020_Stn45:trawl:net_opening_depth_end,net_opening_depth_end,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn46:trawl,IYS:GoA2020_Stn46:trawl:sampling_gear,sampling_gear,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/,GoA 2020 Trawl Net, ,NA,NA
IYS:GoA2020_Stn46:trawl,IYS:GoA2020_Stn46:trawl:net_opening_width_wings,net_opening_width_wings, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn46:trawl,IYS:GoA2020_Stn46:trawl:net_opening_width_wings_30_min,net_opening_width_wings_30_min, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn46:trawl,IYS:GoA2020_Stn46:trawl:net_opening_width_wings_45_min,net_opening_width_wings_45_min, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn46:trawl,IYS:GoA2020_Stn46:trawl:net_opening_width_wings_end,net_opening_width_wings_end, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn46:trawl,IYS:GoA2020_Stn46:trawl:net_opening_width_doors,net_opening_width_doors,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,92,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn46:trawl,IYS:GoA2020_Stn46:trawl:net_opening_width_doors_30_min,net_opening_width_doors_30_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,95,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn46:trawl,IYS:GoA2020_Stn46:trawl:net_opening_width_doors_45_min,net_opening_width_doors_45_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,95,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn46:trawl,IYS:GoA2020_Stn46:trawl:net_opening_width_doors_end,net_opening_width_doors_end,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,96,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn46:trawl,IYS:GoA2020_Stn46:trawl:net_opening_depth_15_min,net_opening_depth_15_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,19,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn46:trawl,IYS:GoA2020_Stn46:trawl:net_opening_depth_30_min,net_opening_depth_30_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,19,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn46:trawl,IYS:GoA2020_Stn46:trawl:net_opening_depth_45_min,net_opening_depth_45_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,19,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn46:trawl,IYS:GoA2020_Stn46:trawl:net_opening_depth_end,net_opening_depth_end,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,19,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn47:trawl,IYS:GoA2020_Stn47:trawl:sampling_gear,sampling_gear,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/,GoA 2020 Trawl Net, ,NA,NA
IYS:GoA2020_Stn47:trawl,IYS:GoA2020_Stn47:trawl:net_opening_width_wings,net_opening_width_wings, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn47:trawl,IYS:GoA2020_Stn47:trawl:net_opening_width_wings_30_min,net_opening_width_wings_30_min, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn47:trawl,IYS:GoA2020_Stn47:trawl:net_opening_width_wings_45_min,net_opening_width_wings_45_min, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn47:trawl,IYS:GoA2020_Stn47:trawl:net_opening_width_wings_end,net_opening_width_wings_end, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn47:trawl,IYS:GoA2020_Stn47:trawl:net_opening_width_doors,net_opening_width_doors,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,86,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn47:trawl,IYS:GoA2020_Stn47:trawl:net_opening_width_doors_30_min,net_opening_width_doors_30_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,87,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn47:trawl,IYS:GoA2020_Stn47:trawl:net_opening_width_doors_45_min,net_opening_width_doors_45_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,88,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn47:trawl,IYS:GoA2020_Stn47:trawl:net_opening_width_doors_end,net_opening_width_doors_end,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,90,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn47:trawl,IYS:GoA2020_Stn47:trawl:net_opening_depth_15_min,net_opening_depth_15_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn47:trawl,IYS:GoA2020_Stn47:trawl:net_opening_depth_30_min,net_opening_depth_30_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn47:trawl,IYS:GoA2020_Stn47:trawl:net_opening_depth_45_min,net_opening_depth_45_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn47:trawl,IYS:GoA2020_Stn47:trawl:net_opening_depth_end,net_opening_depth_end,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn48:trawl,IYS:GoA2020_Stn48:trawl:sampling_gear,sampling_gear,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/,GoA 2020 Trawl Net, ,NA,NA
IYS:GoA2020_Stn48:trawl,IYS:GoA2020_Stn48:trawl:net_opening_width_wings,net_opening_width_wings, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn48:trawl,IYS:GoA2020_Stn48:trawl:net_opening_width_wings_30_min,net_opening_width_wings_30_min, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn48:trawl,IYS:GoA2020_Stn48:trawl:net_opening_width_wings_45_min,net_opening_width_wings_45_min, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn48:trawl,IYS:GoA2020_Stn48:trawl:net_opening_width_wings_end,net_opening_width_wings_end, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn48:trawl,IYS:GoA2020_Stn48:trawl:net_opening_width_doors,net_opening_width_doors,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,90,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn48:trawl,IYS:GoA2020_Stn48:trawl:net_opening_width_doors_30_min,net_opening_width_doors_30_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,89,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn48:trawl,IYS:GoA2020_Stn48:trawl:net_opening_width_doors_45_min,net_opening_width_doors_45_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,94,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn48:trawl,IYS:GoA2020_Stn48:trawl:net_opening_width_doors_end,net_opening_width_doors_end,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,9.1,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn48:trawl,IYS:GoA2020_Stn48:trawl:net_opening_depth_15_min,net_opening_depth_15_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn48:trawl,IYS:GoA2020_Stn48:trawl:net_opening_depth_30_min,net_opening_depth_30_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn48:trawl,IYS:GoA2020_Stn48:trawl:net_opening_depth_45_min,net_opening_depth_45_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn48:trawl,IYS:GoA2020_Stn48:trawl:net_opening_depth_end,net_opening_depth_end,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn49:trawl,IYS:GoA2020_Stn49:trawl:sampling_gear,sampling_gear,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/,GoA 2020 Trawl Net, ,NA,NA
IYS:GoA2020_Stn49:trawl,IYS:GoA2020_Stn49:trawl:net_opening_width_wings,net_opening_width_wings, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn49:trawl,IYS:GoA2020_Stn49:trawl:net_opening_width_wings_30_min,net_opening_width_wings_30_min, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn49:trawl,IYS:GoA2020_Stn49:trawl:net_opening_width_wings_45_min,net_opening_width_wings_45_min, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn49:trawl,IYS:GoA2020_Stn49:trawl:net_opening_width_wings_end,net_opening_width_wings_end, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn49:trawl,IYS:GoA2020_Stn49:trawl:net_opening_width_doors,net_opening_width_doors,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,88,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn49:trawl,IYS:GoA2020_Stn49:trawl:net_opening_width_doors_30_min,net_opening_width_doors_30_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,92,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn49:trawl,IYS:GoA2020_Stn49:trawl:net_opening_width_doors_45_min,net_opening_width_doors_45_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,92,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn49:trawl,IYS:GoA2020_Stn49:trawl:net_opening_width_doors_end,net_opening_width_doors_end,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,92,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn49:trawl,IYS:GoA2020_Stn49:trawl:net_opening_depth_15_min,net_opening_depth_15_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,18,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn49:trawl,IYS:GoA2020_Stn49:trawl:net_opening_depth_30_min,net_opening_depth_30_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,18,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn49:trawl,IYS:GoA2020_Stn49:trawl:net_opening_depth_45_min,net_opening_depth_45_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,18,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn49:trawl,IYS:GoA2020_Stn49:trawl:net_opening_depth_end,net_opening_depth_end,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,18,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn50:trawl,IYS:GoA2020_Stn50:trawl:sampling_gear,sampling_gear,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/,GoA 2020 Trawl Net, ,NA,NA
IYS:GoA2020_Stn50:trawl,IYS:GoA2020_Stn50:trawl:net_opening_width_wings,net_opening_width_wings, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn50:trawl,IYS:GoA2020_Stn50:trawl:net_opening_width_wings_30_min,net_opening_width_wings_30_min, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn50:trawl,IYS:GoA2020_Stn50:trawl:net_opening_width_wings_45_min,net_opening_width_wings_45_min, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn50:trawl,IYS:GoA2020_Stn50:trawl:net_opening_width_wings_end,net_opening_width_wings_end, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn50:trawl,IYS:GoA2020_Stn50:trawl:net_opening_width_doors,net_opening_width_doors,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,92,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn50:trawl,IYS:GoA2020_Stn50:trawl:net_opening_width_doors_30_min,net_opening_width_doors_30_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,94,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn50:trawl,IYS:GoA2020_Stn50:trawl:net_opening_width_doors_45_min,net_opening_width_doors_45_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,95,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn50:trawl,IYS:GoA2020_Stn50:trawl:net_opening_width_doors_end,net_opening_width_doors_end,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,95,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn50:trawl,IYS:GoA2020_Stn50:trawl:net_opening_depth_15_min,net_opening_depth_15_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,20,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn50:trawl,IYS:GoA2020_Stn50:trawl:net_opening_depth_30_min,net_opening_depth_30_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,20,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn50:trawl,IYS:GoA2020_Stn50:trawl:net_opening_depth_45_min,net_opening_depth_45_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,19,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn50:trawl,IYS:GoA2020_Stn50:trawl:net_opening_depth_end,net_opening_depth_end,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,18,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn51:trawl,IYS:GoA2020_Stn51:trawl:sampling_gear,sampling_gear,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/,GoA 2020 Trawl Net, ,NA,NA
IYS:GoA2020_Stn51:trawl,IYS:GoA2020_Stn51:trawl:net_opening_width_wings,net_opening_width_wings, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn51:trawl,IYS:GoA2020_Stn51:trawl:net_opening_width_wings_30_min,net_opening_width_wings_30_min, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn51:trawl,IYS:GoA2020_Stn51:trawl:net_opening_width_wings_45_min,net_opening_width_wings_45_min, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn51:trawl,IYS:GoA2020_Stn51:trawl:net_opening_width_wings_end,net_opening_width_wings_end, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn51:trawl,IYS:GoA2020_Stn51:trawl:net_opening_width_doors,net_opening_width_doors,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,81,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn51:trawl,IYS:GoA2020_Stn51:trawl:net_opening_width_doors_30_min,net_opening_width_doors_30_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,26,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn51:trawl,IYS:GoA2020_Stn51:trawl:net_opening_width_doors_45_min,net_opening_width_doors_45_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,76,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn51:trawl,IYS:GoA2020_Stn51:trawl:net_opening_width_doors_end,net_opening_width_doors_end,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,76,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn51:trawl,IYS:GoA2020_Stn51:trawl:net_opening_depth_15_min,net_opening_depth_15_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,18,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn51:trawl,IYS:GoA2020_Stn51:trawl:net_opening_depth_30_min,net_opening_depth_30_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,18,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn51:trawl,IYS:GoA2020_Stn51:trawl:net_opening_depth_45_min,net_opening_depth_45_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,19,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn51:trawl,IYS:GoA2020_Stn51:trawl:net_opening_depth_end,net_opening_depth_end,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,19,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn52:trawl,IYS:GoA2020_Stn52:trawl:sampling_gear,sampling_gear,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/,GoA 2020 Trawl Net, ,NA,NA
IYS:GoA2020_Stn52:trawl,IYS:GoA2020_Stn52:trawl:net_opening_width_wings,net_opening_width_wings, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn52:trawl,IYS:GoA2020_Stn52:trawl:net_opening_width_wings_30_min,net_opening_width_wings_30_min, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn52:trawl,IYS:GoA2020_Stn52:trawl:net_opening_width_wings_45_min,net_opening_width_wings_45_min, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn52:trawl,IYS:GoA2020_Stn52:trawl:net_opening_width_wings_end,net_opening_width_wings_end, ,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn52:trawl,IYS:GoA2020_Stn52:trawl:net_opening_width_doors,net_opening_width_doors,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,88,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn52:trawl,IYS:GoA2020_Stn52:trawl:net_opening_width_doors_30_min,net_opening_width_doors_30_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,95,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn52:trawl,IYS:GoA2020_Stn52:trawl:net_opening_width_doors_45_min,net_opening_width_doors_45_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,92,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn52:trawl,IYS:GoA2020_Stn52:trawl:net_opening_width_doors_end,net_opening_width_doors_end,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100014/,84,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn52:trawl,IYS:GoA2020_Stn52:trawl:net_opening_depth_15_min,net_opening_depth_15_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn52:trawl,IYS:GoA2020_Stn52:trawl:net_opening_depth_30_min,net_opening_depth_30_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn52:trawl,IYS:GoA2020_Stn52:trawl:net_opening_depth_45_min,net_opening_depth_45_min,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
IYS:GoA2020_Stn52:trawl,IYS:GoA2020_Stn52:trawl:net_opening_depth_end,net_opening_depth_end,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100013/,NA,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
